Wall time,Step,Value
1730484214.5261521,4096,-3.8592662811279297
1730484262.9036794,5000,-3.8368160724639893
1730484270.2577403,8192,-3.808147668838501
1730484312.4975073,10000,-3.7628302574157715
1730484315.623576,12288,-3.7555692195892334
1730484318.6345685,14336,-3.7369062900543213
1730484341.4680572,15000,-3.7080976963043213
1730484345.5876126,18432,-3.616795778274536
1730484374.2594533,20000,-3.6186695098876953
1730484384.0180767,22528,-3.595973491668701
1730484392.6630588,24576,-3.5151216983795166
1730484445.921729,25000,-3.468505620956421
1730484457.9547646,28672,-3.434762716293335
1730484496.3848646,30000,-3.395845413208008
1730484499.7032325,32768,-3.367800712585449
1730484502.5854168,34816,-3.2686843872070312
1730484543.554827,35000,-3.260213851928711
1730484555.6740339,38912,-3.1853859424591064
1730484653.6498675,40000,-3.1918928623199463
1730484664.6791072,43008,-3.1684701442718506
1730484728.3498838,45000,-3.086317300796509
1730484736.992242,47104,-3.067575454711914
1730484745.5014963,49152,-3.001830577850342
1730484793.132537,50000,-2.986315965652466
1730484796.745457,53248,-2.9108684062957764
1730484830.8588662,55000,-2.9235599040985107
1730484834.610282,57344,-2.947539806365967
1730484837.317195,59392,-2.849045515060425
1730484903.902925,60000,-2.911057233810425
1730484907.6817944,63488,-2.773703098297119
1730484939.6599917,65000,-2.7510268688201904
1730484943.138936,67584,-2.7117795944213867
1730484946.0751169,69632,-2.7037599086761475
1730484985.0409868,70000,-2.623892307281494
1730484998.093715,73728,-2.6168243885040283
1730485074.2608674,75000,-2.605680227279663
1730485084.8318784,77824,-2.459238052368164
1730485093.4230917,79872,-2.4631378650665283
1730485136.6744597,80000,-2.3874118328094482
1730485141.4437509,83968,-2.36858868598938
1730485214.409253,85000,-2.295644521713257
1730485225.0810933,88064,-2.3712568283081055
1730485306.9970617,90000,-2.307845115661621
1730485311.2491415,92160,-2.2769768238067627
1730485317.2253807,94208,-2.2920773029327393
1730485392.171495,95000,-2.317739963531494
1730485402.8330405,98304,-2.242501735687256
1730485438.5089498,100000,-2.3073689937591553
