#{"t_start": 1730992483.0601444, "env_id": "None"}
r,l,t
-3816445420.0,16399,15.269654
-1965370350.0,11873,26.675731
-1085278665.0,8123,34.14302
-219383200.0,4318,36.798405
-299859600.0,4767,40.006229
-1892169030.0,11149,50.46978
-633936390.0,6966,53.8416
-1316922890.0,9482,59.629893
-1416905705.0,9983,63.441464
-2811297885.0,12922,68.44233
-382695125.0,4878,73.148671
-1557845955.0,12154,79.674734
-264498930.0,4650,81.70839
-629824535.0,7145,84.680479
-1405300445.0,10520,89.082079
-906487590.0,9314,96.305425
-506224310.0,6661,98.874748
-896945800.0,9251,103.359698
-772735980.0,8143,106.608241
-2904206315.0,13513,111.391051
-361379645.0,5284,117.830387
-229323305.0,4246,119.508023
-2396214740.0,11449,123.336654
-950751350.0,8113,126.09125
-593504980.0,6548,128.359896
-2471580975.0,12696,135.749072
-2131628605.0,12178,140.659689
-3533342345.0,15458,145.841604
-326162855.0,5673,147.741602
-744412925.0,6495,150.114337
-1663479320.0,8977,155.831223
-202152080.0,4219,157.235104
-1917474795.0,13054,161.622944
-622010045.0,6743,163.874166
-2951805800.0,12912,168.19143
-54857670.0,2068,170.974118
-2420808720.0,11972,175.136354
-1497070845.0,9501,178.157732
-1216577745.0,9449,181.542994
-2116451290.0,12162,185.458039
-2945204490.0,14808,190.542874
-2202815495.0,11336,197.241411
-3350991760.0,13638,201.657509
-431612020.0,5180,203.441116
-1269442150.0,10554,207.507766
-1897799445.0,12004,211.657636
-879332550.0,7909,218.940089
-6039719435.0,18191,224.841062
-2175797310.0,12430,228.84094
-1234869295.0,8791,231.657683
-4026097840.0,15538,236.629085
-610935810.0,6504,241.757532
-959872980.0,7638,244.192917
-664241530.0,7624,247.82679
-7584147805.0,23091,257.293169
-1588118015.0,10901,260.942549
-614411325.0,6929,266.280121
-1511836900.0,10050,269.890774
-12334163625.0,30281,279.824962
-604560105.0,6867,282.026167
-255656720.0,4357,283.474407
-38958875.0,1828,286.029849
-749633150.0,7181,288.673942
-2680842500.0,12526,293.25736
-506673850.0,5893,295.175631
-167851110.0,3897,296.434133
-1716727170.0,10416,299.907444
-1931326695.0,12002,308.009254
-802593460.0,8040,310.574125
-731019735.0,7424,312.945534
-433475405.0,6607,315.090696
-311632835.0,4245,316.576627
-1263114890.0,7899,322.057232
-2117297350.0,11229,325.642349
-1693820265.0,9950,328.935595
-421723885.0,6130,330.940699
-2297522470.0,12845,335.04064
-43087930.0,1920,337.59084
-363569700.0,5245,339.641019
-2111157425.0,10413,342.906029
-390841170.0,4908,344.440654
-395034140.0,5767,346.290975
-1831872860.0,10943,349.740834
-1025677050.0,6834,354.840846
-228881450.0,4702,356.373789
-450350165.0,5859,358.240703
-403359125.0,6149,360.457381
-1324598640.0,9602,363.507502
-40220465.0,1851,365.959071
-1324747425.0,10594,369.725885
-463063835.0,6196,371.690716
-565420250.0,5687,373.507374
-300489580.0,5099,375.190534
-7458142880.0,21399,382.490647
-2076347225.0,9695,390.709457
-171059025.0,3379,391.77398
-238340130.0,4277,393.174118
-1032198045.0,6939,395.676739
-97041375.0,3419,396.773746
-59589590.0,2320,399.305321
