Wall time,Step,Value
1730541496.0760956,2500,-3.86521577835083
1730541594.1230845,5000,-3.8508095741271973
1730541637.7206414,7500,-3.825814962387085
1730541737.4012997,10000,-3.8138842582702637
1730541751.3339462,12288,-3.7731146812438965
1730541813.2546825,12500,-3.744537353515625
1730541867.650499,15000,-3.7113687992095947
1730541921.241365,17500,-3.715596914291382
1730542005.5052266,20000,-3.6966161727905273
1730542092.8179514,22500,-3.6366078853607178
1730542102.0862076,24576,-3.597094774246216
1730542195.7376235,25000,-3.573206663131714
1730542268.4862757,27500,-3.5890660285949707
1730542327.4773746,30000,-3.5218844413757324
1730542378.0891352,32500,-3.4890928268432617
1730542383.9624956,34816,-3.4100921154022217
1730542459.9364312,35000,-3.3787715435028076
1730542544.9986973,37500,-3.3343441486358643
1730542632.9705973,40000,-3.292963981628418
1730542699.785909,42500,-3.256004810333252
1730542789.5174546,45000,-3.230680465698242
1730542795.3358853,47104,-3.1962103843688965
1730542869.3775122,47500,-3.180382013320923
1730542946.6187372,50000,-3.1983954906463623
1730543030.88805,52500,-3.093183994293213
1730543085.2759078,55000,-3.1077306270599365
1730543089.432568,57344,-3.0313172340393066
1730543119.5703044,57500,-3.016737222671509
1730543153.3741205,60000,-2.983454465866089
1730543184.547387,62500,-2.930330753326416
1730543223.271087,65000,-2.9062612056732178
1730543265.1039364,67500,-2.8642492294311523
1730543267.8804474,69632,-2.8157594203948975
1730543299.8664768,70000,-2.808701992034912
1730543331.3337092,72500,-2.722090244293213
1730543370.833329,75000,-2.72097110748291
1730543410.314055,77500,-2.6579372882843018
1730543414.636271,79872,-2.648653030395508
1730543446.0834665,80000,-2.6616454124450684
1730543494.560575,82500,-2.5671324729919434
1730543530.3590012,85000,-2.6385555267333984
1730543568.4813156,87500,-2.5531210899353027
1730543592.9245393,90000,-2.577470302581787
1730543595.858512,92160,-2.5196146965026855
1730543627.7680683,92500,-2.516730785369873
1730543664.5219626,95000,-2.6086604595184326
1730543698.8222263,97500,-2.545633554458618
1730543721.9613369,100000,-2.4606211185455322
1730543724.682084,102400,-2.521547794342041
1730543757.2730973,102500,-2.4850313663482666
1730543787.9351535,105000,-2.472839593887329
1730543818.6919327,107500,-2.385183334350586
1730543854.4081025,110000,-2.3933303356170654
1730543886.8239954,112500,-2.4936981201171875
1730543889.7678444,114688,-2.406606435775757
1730543916.603118,115000,-2.3707804679870605
1730543947.4240859,117500,-2.3944435119628906
1730543971.2040622,120000,-2.4018943309783936
1730543992.3980284,122500,-2.2952260971069336
1730543995.3203738,124928,-2.2883286476135254
1730544029.1991076,125000,-2.33961820602417
1730544063.4723396,127500,-2.210120439529419
1730544100.8593478,130000,-2.290644645690918
1730544127.8811917,132500,-2.22599458694458
1730544166.0200717,135000,-2.267503499984741
1730544169.0474498,137216,-2.2241294384002686
1730544197.467105,137500,-2.269362211227417
1730544228.9261837,140000,-2.179985523223877
1730544255.4363484,142500,-2.1458797454833984
1730544285.9079518,145000,-2.0953457355499268
1730544289.1557446,147456,-2.04317569732666
1730544329.2075188,147500,-2.0495998859405518
1730544360.8180592,150000,-2.064229726791382
