stat_id,nb_no_action,nb_move_out,nb_move_out_and_kill,nb_move_forward,nb_get_stuck_behind,nb_enter_safezone,nb_move_in_safe_zone,nb_reach_goal,nb_kill
14401,88,0,0,41,0,0,0,0,0
14402,65,0,0,62,0,0,0,0,0
14403,49,0,0,26,0,0,0,0,0
14404,40,0,0,27,0,0,0,0,0
14405,65,0,0,23,0,0,0,0,0
14406,65,0,0,27,0,0,0,0,0
14407,96,0,0,25,0,0,0,0,0
14408,87,0,0,28,0,0,0,0,0
14409,74,0,0,70,0,0,0,0,0
14410,81,0,0,54,0,0,0,0,0
14411,54,0,0,36,0,0,0,0,0
14412,78,0,0,20,0,0,0,0,0
14413,78,0,0,25,0,0,0,0,0
14414,65,0,0,38,0,0,0,0,0
14415,86,0,0,45,0,0,0,0,0
14416,75,0,0,32,0,0,0,0,0
14417,84,0,0,42,0,0,0,0,0
14418,85,0,0,38,0,0,0,0,0
14419,65,0,0,34,0,0,0,0,0
14420,70,0,0,29,0,0,0,0,0
14421,56,0,0,28,0,0,0,0,0
14422,40,0,0,28,0,0,0,0,0
14423,54,0,0,25,0,0,0,0,0
14424,34,0,0,32,0,0,0,0,0
14425,100,0,0,49,0,0,0,0,0
14426,118,0,0,22,0,0,0,0,0
14427,111,0,0,86,0,0,0,0,0
14428,120,0,0,60,0,0,0,0,0
14429,77,0,0,24,0,0,0,0,0
14430,87,0,0,17,0,0,0,0,0
14431,113,0,0,31,0,0,0,0,0
14432,126,0,0,19,0,0,0,0,0
14433,80,0,0,19,0,0,0,0,0
14434,69,0,0,30,0,0,0,0,0
14435,32,0,0,23,0,0,0,0,0
14436,46,0,0,23,0,0,0,0,0
14437,82,0,0,27,0,0,0,0,0
14438,72,0,0,37,0,0,0,0,0
14439,79,0,0,41,0,0,0,0,0
14440,86,0,0,42,0,0,0,0,0
14441,68,0,0,32,0,0,0,0,0
14442,64,0,0,34,0,0,0,0,0
14443,69,0,0,16,0,0,0,0,0
14444,80,0,0,11,0,0,0,0,0
14445,92,0,0,21,0,0,0,0,0
14446,98,0,0,25,0,0,0,0,0
14447,70,0,0,38,0,0,0,0,0
14448,66,0,0,26,0,0,0,0,0
14449,124,0,0,88,0,0,0,0,0
14450,151,0,0,64,0,0,0,0,0
14451,73,0,0,19,0,0,0,0,0
14452,54,0,0,25,0,0,0,0,0
14453,73,0,0,27,0,0,0,0,0
14454,79,0,0,24,0,0,0,0,0
14455,90,0,0,64,0,0,0,0,0
14456,106,0,0,41,0,0,0,0,0
14457,95,0,0,52,0,0,0,0,0
14458,131,0,0,37,0,0,0,0,0
14459,77,0,0,24,0,0,0,0,0
14460,96,0,0,11,0,0,0,0,0
14461,88,0,0,21,0,0,0,0,0
14462,66,0,0,46,0,0,0,0,0
14463,84,0,0,35,0,0,0,0,0
14464,62,0,0,54,0,0,0,0,0
14465,98,0,0,69,0,0,0,0,0
14466,127,0,0,61,0,0,0,0,0
14467,85,0,0,31,0,0,0,0,0
14468,82,0,0,39,0,0,0,0,0
14469,193,0,0,94,0,0,0,0,0
14470,238,0,0,62,0,0,0,0,0
14471,127,0,0,61,0,0,0,0,0
14472,123,0,0,60,0,0,0,0,0
14473,64,0,0,44,0,0,0,0,0
14474,69,0,0,32,0,0,0,0,0
14475,85,0,0,45,0,0,0,0,0
14476,93,0,0,23,0,0,0,0,0
14477,53,0,0,35,0,0,0,0,0
14478,78,0,0,25,0,0,0,0,0
14479,67,0,0,44,0,0,0,0,0
14480,71,0,0,16,0,0,0,0,0
14481,85,0,0,32,0,0,0,0,0
14482,80,0,0,35,0,0,0,0,0
14483,61,0,0,16,0,0,0,0,0
14484,65,0,0,39,0,0,0,0,0
14485,62,0,0,28,0,0,0,0,0
14486,43,0,0,34,0,0,0,0,0
14487,136,0,0,56,0,0,0,0,0
14488,142,0,0,56,0,0,0,0,0
14489,82,0,0,25,0,0,0,0,0
14490,87,0,0,19,0,0,0,0,0
14491,40,0,0,13,0,0,0,0,0
14492,48,0,0,18,0,0,0,0,0
14493,94,0,0,36,0,0,0,0,0
14494,71,0,0,33,0,0,0,0,0
14495,58,0,0,27,0,0,0,0,0
14496,60,0,0,20,0,0,0,0,0
14497,74,0,0,18,0,0,0,0,0
14498,65,0,0,35,0,0,0,0,0
14499,53,0,0,32,0,0,0,0,0
14500,85,0,0,15,0,0,0,0,0
14501,84,0,0,24,0,0,0,0,0
14502,57,0,0,51,0,0,0,0,0
14503,153,0,0,31,0,0,0,0,0
14504,134,0,0,58,0,0,0,0,0
14505,49,0,0,40,0,0,0,0,0
14506,69,0,0,32,0,0,0,0,0
14507,96,0,0,33,0,0,0,0,0
14508,73,0,0,52,0,0,0,0,0
14509,179,0,0,64,0,0,0,0,0
14510,170,0,0,70,0,0,0,0,0
14511,46,0,0,28,0,0,0,0,0
14512,52,0,0,33,0,0,0,0,0
14513,183,0,0,101,0,0,0,0,0
14514,200,0,0,86,0,0,0,0,0
14515,74,0,0,22,0,0,0,0,0
14516,52,0,0,27,0,0,0,0,0
14517,84,0,0,85,0,0,0,0,0
14518,140,0,0,32,0,0,0,0,0
14519,90,0,0,26,0,0,0,0,0
14520,65,0,0,27,0,0,0,0,0
14521,146,0,0,69,0,0,0,0,0
14522,121,0,0,71,0,0,0,0,0
14523,109,0,0,30,0,0,0,0,0
14524,113,0,0,57,0,0,0,0,0
14525,87,0,0,38,0,0,0,0,0
14526,91,0,0,26,0,0,0,0,0
14527,87,0,0,26,0,0,0,0,0
14528,55,0,0,47,0,0,0,0,0
14529,93,0,0,38,0,0,0,0,0
14530,99,0,0,45,0,0,0,0,0
14531,59,0,0,33,0,0,0,0,0
14532,74,0,0,24,0,0,0,0,0
14533,106,0,0,27,0,0,0,0,0
14534,79,0,0,57,0,0,0,0,0
14535,109,0,0,22,0,0,0,0,0
14536,53,0,0,63,0,0,0,0,0
14537,242,0,0,70,0,0,0,0,0
14538,210,0,0,126,0,0,0,0,0
14539,95,0,0,25,0,0,0,0,0
14540,90,0,0,28,0,0,0,0,0
14541,150,0,0,116,0,0,0,0,0
14542,153,0,0,112,0,0,0,0,0
14543,62,0,0,35,0,0,0,0,0
14544,80,0,0,16,0,0,0,0,0
14545,67,0,0,37,0,0,0,0,0
14546,87,0,0,19,0,0,0,0,0
14547,67,0,0,16,0,0,0,0,0
14548,59,0,0,24,0,0,0,0,0
14549,102,0,0,33,0,0,0,0,0
14550,86,0,0,28,0,0,0,0,0
14551,145,0,0,38,0,0,0,0,0
14552,133,0,0,37,0,0,0,0,0
14553,139,0,0,77,0,0,0,0,0
14554,142,0,0,73,0,0,0,0,0
