stat_id,nb_no_action_d,nb_move_out_d,nb_move_out_and_kill_d,nb_move_forward_d,nb_get_stuck_behind_d,nb_enter_safezone_d,nb_move_in_safe_zone_d,nb_reach_goal_d,nb_kill_d,nb_reach_pied_escalier_d,nb_avance_recule_pied_escalier_d,nb_marche_1_d,nb_marche_2_d,nb_marche_3_d,nb_marche_4_d,nb_marche_5_d,nb_marche_6_d,nb_no_action_e,nb_move_out_e,nb_move_out_and_kill_e,nb_move_forward_e,nb_get_stuck_behind_e,nb_enter_safezone_e,nb_move_in_safe_zone_e,nb_reach_goal_e,nb_kill_e,nb_reach_pied_escalier_e,nb_avance_recule_pied_escalier_e,nb_marche_1_e,nb_marche_2_e,nb_marche_3_e,nb_marche_4_e,nb_marche_5_e,nb_marche_6_e
23283,9,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23284,2,1,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,20,0,1,0,1,0,0,0,0,0,0,0,0,0
23285,12,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
23286,6,1,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,0,12,0,1,2,1,1,0,0,0,0,0,0,0,0
23287,7,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
23288,1,1,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,17,0,1,1,1,0,0,0,0,0,0,0,0,0
23289,4,1,0,19,0,1,0,2,0,0,0,0,0,0,0,0,0,4,2,0,18,0,1,1,1,0,0,0,0,0,0,0,0,0
23290,9,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23291,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23292,3,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23293,13,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23294,0,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0
23295,2,1,0,19,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,19,0,1,1,1,0,0,0,0,0,0,0,0,0
23296,5,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
23297,0,1,0,20,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0
23298,4,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
23299,2,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
