game_id,set_of_rules_id,played_at,nb_participants,nb_pawns
31110,19,2025-01-18 01:24:07.555507+01:00,2,2
31111,19,2025-01-18 01:24:07.617166+01:00,2,2
31112,19,2025-01-18 01:24:07.659051+01:00,2,2
31113,19,2025-01-18 01:24:07.705875+01:00,2,2
31114,19,2025-01-18 01:24:07.744522+01:00,2,2
31115,19,2025-01-18 01:24:07.780583+01:00,2,2
31116,19,2025-01-18 01:24:07.823497+01:00,2,2
31117,19,2025-01-18 01:24:07.859750+01:00,2,2
31118,19,2025-01-18 01:24:07.897963+01:00,2,2
31119,19,2025-01-18 01:24:07.947166+01:00,2,2
31120,19,2025-01-18 01:24:07.982709+01:00,2,2
31121,19,2025-01-18 01:24:08.019833+01:00,2,2
31122,19,2025-01-18 01:24:08.067229+01:00,2,2
31123,19,2025-01-18 01:24:08.117734+01:00,2,2
31124,19,2025-01-18 01:24:08.155709+01:00,2,2
31125,19,2025-01-18 01:24:08.194624+01:00,2,2
31126,19,2025-01-18 01:24:08.235548+01:00,2,2
31127,19,2025-01-18 01:24:08.273764+01:00,2,2
31128,19,2025-01-18 01:24:08.306823+01:00,2,2
31129,19,2025-01-18 01:24:08.342160+01:00,2,2
31130,19,2025-01-18 01:24:08.385798+01:00,2,2
31131,19,2025-01-18 01:24:08.425675+01:00,2,2
31132,19,2025-01-18 01:24:08.465100+01:00,2,2
31133,19,2025-01-18 01:24:08.502444+01:00,2,2
31134,19,2025-01-18 01:24:08.538298+01:00,2,2
31135,19,2025-01-18 01:24:08.576212+01:00,2,2
31136,19,2025-01-18 01:24:08.618792+01:00,2,2
31137,19,2025-01-18 01:24:08.658013+01:00,2,2
31138,19,2025-01-18 01:24:08.698495+01:00,2,2
31139,19,2025-01-18 01:24:08.743004+01:00,2,2
31140,19,2025-01-18 01:24:08.781932+01:00,2,2
31141,19,2025-01-18 01:24:08.826801+01:00,2,2
31142,19,2025-01-18 01:24:08.870139+01:00,2,2
31143,19,2025-01-18 01:24:08.910777+01:00,2,2
31144,19,2025-01-18 01:24:08.950862+01:00,2,2
31145,19,2025-01-18 01:24:08.983734+01:00,2,2
31146,19,2025-01-18 01:24:09.025140+01:00,2,2
31147,19,2025-01-18 01:24:09.062449+01:00,2,2
31148,19,2025-01-18 01:24:09.100465+01:00,2,2
31149,19,2025-01-18 01:24:09.166288+01:00,2,2
31150,19,2025-01-18 01:24:09.210320+01:00,2,2
31151,19,2025-01-18 01:24:09.249997+01:00,2,2
31152,19,2025-01-18 01:24:09.305746+01:00,2,2
31153,19,2025-01-18 01:24:09.342572+01:00,2,2
31154,19,2025-01-18 01:24:09.376513+01:00,2,2
31155,19,2025-01-18 01:24:09.407911+01:00,2,2
31156,19,2025-01-18 01:24:09.444992+01:00,2,2
31157,19,2025-01-18 01:24:09.484986+01:00,2,2
31158,19,2025-01-18 01:24:09.552921+01:00,2,2
31159,19,2025-01-18 01:24:09.588372+01:00,2,2
31160,19,2025-01-18 01:24:09.635105+01:00,2,2
31161,19,2025-01-18 01:24:09.668373+01:00,2,2
31162,19,2025-01-18 01:24:09.704139+01:00,2,2
31163,19,2025-01-18 01:24:09.739010+01:00,2,2
31164,19,2025-01-18 01:24:09.775917+01:00,2,2
31165,19,2025-01-18 01:24:09.826916+01:00,2,2
31166,19,2025-01-18 01:24:09.880036+01:00,2,2
31167,19,2025-01-18 01:24:09.918920+01:00,2,2
31168,19,2025-01-18 01:24:09.956356+01:00,2,2
31169,19,2025-01-18 01:24:09.992622+01:00,2,2
31170,19,2025-01-18 01:24:10.024123+01:00,2,2
31171,19,2025-01-18 01:24:10.069692+01:00,2,2
31172,19,2025-01-18 01:24:10.104653+01:00,2,2
31173,19,2025-01-18 01:24:10.147285+01:00,2,2
31174,19,2025-01-18 01:24:10.204892+01:00,2,2
31175,19,2025-01-18 01:24:10.247144+01:00,2,2
31176,19,2025-01-18 01:24:10.286889+01:00,2,2
31177,19,2025-01-18 01:24:10.337687+01:00,2,2
31178,19,2025-01-18 01:24:10.374130+01:00,2,2
31179,19,2025-01-18 01:24:10.417215+01:00,2,2
31180,19,2025-01-18 01:24:10.453019+01:00,2,2
31181,19,2025-01-18 01:24:10.491186+01:00,2,2
31182,19,2025-01-18 01:24:10.523110+01:00,2,2
31183,19,2025-01-18 01:24:10.568391+01:00,2,2
31184,19,2025-01-18 01:24:10.608201+01:00,2,2
31185,19,2025-01-18 01:24:10.660916+01:00,2,2
31186,19,2025-01-18 01:24:10.699985+01:00,2,2
31187,19,2025-01-18 01:24:10.733944+01:00,2,2
31188,19,2025-01-18 01:24:10.767248+01:00,2,2
31189,19,2025-01-18 01:24:10.815421+01:00,2,2
31190,19,2025-01-18 01:24:10.852996+01:00,2,2
31191,19,2025-01-18 01:24:10.905103+01:00,2,2
31192,19,2025-01-18 01:24:10.941496+01:00,2,2
31193,19,2025-01-18 01:24:10.985241+01:00,2,2
31194,19,2025-01-18 01:24:11.025577+01:00,2,2
31195,19,2025-01-18 01:24:11.071928+01:00,2,2
31196,19,2025-01-18 01:24:11.111862+01:00,2,2
31197,19,2025-01-18 01:24:11.145424+01:00,2,2
31198,19,2025-01-18 01:24:11.197458+01:00,2,2
31199,19,2025-01-18 01:24:11.234574+01:00,2,2
31200,19,2025-01-18 01:24:11.273294+01:00,2,2
31201,19,2025-01-18 01:24:11.311726+01:00,2,2
31202,19,2025-01-18 01:24:11.350689+01:00,2,2
31203,19,2025-01-18 01:24:11.390961+01:00,2,2
31204,19,2025-01-18 01:24:11.426472+01:00,2,2
31205,19,2025-01-18 01:24:11.463209+01:00,2,2
31206,19,2025-01-18 01:24:11.505773+01:00,2,2
31207,19,2025-01-18 01:24:11.557369+01:00,2,2
31208,19,2025-01-18 01:24:11.624095+01:00,2,2
31209,19,2025-01-18 01:24:11.661498+01:00,2,2
31210,19,2025-01-18 01:24:11.696929+01:00,2,2
31211,19,2025-01-18 01:24:11.733722+01:00,2,2
31212,19,2025-01-18 01:24:11.776990+01:00,2,2
31213,19,2025-01-18 01:24:11.815972+01:00,2,2
31214,19,2025-01-18 01:24:11.884361+01:00,2,2
31215,19,2025-01-18 01:24:11.934206+01:00,2,2
31216,19,2025-01-18 01:24:11.973093+01:00,2,2
31217,19,2025-01-18 01:24:12.026044+01:00,2,2
31218,19,2025-01-18 01:24:12.069276+01:00,2,2
31219,19,2025-01-18 01:24:12.116249+01:00,2,2
31220,19,2025-01-18 01:24:12.148099+01:00,2,2
31221,19,2025-01-18 01:24:12.188978+01:00,2,2
31222,19,2025-01-18 01:24:12.222550+01:00,2,2
31223,19,2025-01-18 01:24:12.256232+01:00,2,2
31224,19,2025-01-18 01:24:12.299128+01:00,2,2
31225,19,2025-01-18 01:24:12.352464+01:00,2,2
31226,19,2025-01-18 01:24:12.394124+01:00,2,2
31227,19,2025-01-18 01:24:12.442516+01:00,2,2
31228,19,2025-01-18 01:24:12.487169+01:00,2,2
31229,19,2025-01-18 01:24:12.523035+01:00,2,2
31230,19,2025-01-18 01:24:12.560137+01:00,2,2
31231,19,2025-01-18 01:24:12.606488+01:00,2,2
31232,19,2025-01-18 01:24:12.639805+01:00,2,2
31233,19,2025-01-18 01:24:12.677366+01:00,2,2
31234,19,2025-01-18 01:24:12.723818+01:00,2,2
31235,19,2025-01-18 01:24:12.769100+01:00,2,2
