game_id,set_of_rules_id,played_at,nb_participants,nb_pawns
14673,19,2025-01-12 12:32:08.736987+01:00,2,2
14674,19,2025-01-12 12:32:08.797149+01:00,2,2
14675,19,2025-01-12 12:32:08.834842+01:00,2,2
14676,19,2025-01-12 12:32:08.871299+01:00,2,2
14677,19,2025-01-12 12:32:08.905297+01:00,2,2
14678,19,2025-01-12 12:32:08.938644+01:00,2,2
14679,19,2025-01-12 12:32:08.971180+01:00,2,2
14680,19,2025-01-12 12:32:09.008266+01:00,2,2
14681,19,2025-01-12 12:32:09.043140+01:00,2,2
14682,19,2025-01-12 12:32:09.080267+01:00,2,2
14683,19,2025-01-12 12:32:09.116683+01:00,2,2
14684,19,2025-01-12 12:32:09.157348+01:00,2,2
14685,19,2025-01-12 12:32:09.189669+01:00,2,2
14686,19,2025-01-12 12:32:09.228131+01:00,2,2
14687,19,2025-01-12 12:32:09.262954+01:00,2,2
14688,19,2025-01-12 12:32:09.299295+01:00,2,2
14689,19,2025-01-12 12:32:09.333282+01:00,2,2
14690,19,2025-01-12 12:32:09.367925+01:00,2,2
14691,19,2025-01-12 12:32:09.403427+01:00,2,2
14692,19,2025-01-12 12:32:09.441509+01:00,2,2
14693,19,2025-01-12 12:32:09.476730+01:00,2,2
14694,19,2025-01-12 12:32:09.517233+01:00,2,2
14695,19,2025-01-12 12:32:09.550821+01:00,2,2
14696,19,2025-01-12 12:32:09.592812+01:00,2,2
14697,19,2025-01-12 12:32:09.628767+01:00,2,2
14698,19,2025-01-12 12:32:09.667061+01:00,2,2
14699,19,2025-01-12 12:32:09.704947+01:00,2,2
14700,19,2025-01-12 12:32:09.735259+01:00,2,2
14701,19,2025-01-12 12:32:09.775587+01:00,2,2
14702,19,2025-01-12 12:32:09.814671+01:00,2,2
14703,19,2025-01-12 12:32:09.853964+01:00,2,2
14704,19,2025-01-12 12:32:09.894085+01:00,2,2
14705,19,2025-01-12 12:32:09.925497+01:00,2,2
14706,19,2025-01-12 12:32:09.958097+01:00,2,2
14707,19,2025-01-12 12:32:09.998149+01:00,2,2
14708,19,2025-01-12 12:32:10.039377+01:00,2,2
14709,19,2025-01-12 12:32:10.123638+01:00,2,2
14710,19,2025-01-12 12:32:10.200966+01:00,2,2
14711,19,2025-01-12 12:32:10.244136+01:00,2,2
14712,19,2025-01-12 12:32:10.282887+01:00,2,2
14713,19,2025-01-12 12:32:10.341515+01:00,2,2
14714,19,2025-01-12 12:32:10.395124+01:00,2,2
14715,19,2025-01-12 12:32:10.444104+01:00,2,2
14716,19,2025-01-12 12:32:10.477090+01:00,2,2
14717,19,2025-01-12 12:32:10.532160+01:00,2,2
14718,19,2025-01-12 12:32:10.574005+01:00,2,2
14719,19,2025-01-12 12:32:10.623597+01:00,2,2
14720,19,2025-01-12 12:32:10.671800+01:00,2,2
14721,19,2025-01-12 12:32:10.732996+01:00,2,2
14722,19,2025-01-12 12:32:10.784202+01:00,2,2
14723,19,2025-01-12 12:32:10.831110+01:00,2,2
14724,19,2025-01-12 12:32:10.869858+01:00,2,2
14725,19,2025-01-12 12:32:10.921227+01:00,2,2
14726,19,2025-01-12 12:32:10.967286+01:00,2,2
14727,19,2025-01-12 12:32:11.018598+01:00,2,2
14728,19,2025-01-12 12:32:11.072639+01:00,2,2
14729,19,2025-01-12 12:32:11.126425+01:00,2,2
14730,19,2025-01-12 12:32:11.179562+01:00,2,2
14731,19,2025-01-12 12:32:11.228066+01:00,2,2
14732,19,2025-01-12 12:32:11.279925+01:00,2,2
14733,19,2025-01-12 12:32:11.331755+01:00,2,2
14734,19,2025-01-12 12:32:11.374969+01:00,2,2
14735,19,2025-01-12 12:32:11.429349+01:00,2,2
14736,19,2025-01-12 12:32:11.480826+01:00,2,2
14737,19,2025-01-12 12:32:11.532305+01:00,2,2
14738,19,2025-01-12 12:32:11.598185+01:00,2,2
14739,19,2025-01-12 12:32:11.648853+01:00,2,2
14740,19,2025-01-12 12:32:11.704110+01:00,2,2
14741,19,2025-01-12 12:32:11.747894+01:00,2,2
14742,19,2025-01-12 12:32:11.795664+01:00,2,2
14743,19,2025-01-12 12:32:11.854533+01:00,2,2
14744,19,2025-01-12 12:32:11.890593+01:00,2,2
14745,19,2025-01-12 12:32:11.930749+01:00,2,2
14746,19,2025-01-12 12:32:11.982802+01:00,2,2
14747,19,2025-01-12 12:32:12.039402+01:00,2,2
14748,19,2025-01-12 12:32:12.079441+01:00,2,2
14749,19,2025-01-12 12:32:12.120380+01:00,2,2
14750,19,2025-01-12 12:32:12.154558+01:00,2,2
14751,19,2025-01-12 12:32:12.197815+01:00,2,2
14752,19,2025-01-12 12:32:12.237419+01:00,2,2
14753,19,2025-01-12 12:32:12.279107+01:00,2,2
14754,19,2025-01-12 12:32:12.317728+01:00,2,2
14755,19,2025-01-12 12:32:12.358604+01:00,2,2
14756,19,2025-01-12 12:32:12.397198+01:00,2,2
14757,19,2025-01-12 12:32:12.436580+01:00,2,2
14758,19,2025-01-12 12:32:12.474426+01:00,2,2
14759,19,2025-01-12 12:32:12.513375+01:00,2,2
14760,19,2025-01-12 12:32:12.554442+01:00,2,2
14761,19,2025-01-12 12:32:12.592321+01:00,2,2
14762,19,2025-01-12 12:32:12.631680+01:00,2,2
14763,19,2025-01-12 12:32:12.680679+01:00,2,2
14764,19,2025-01-12 12:32:12.721010+01:00,2,2
14765,19,2025-01-12 12:32:12.757520+01:00,2,2
14766,19,2025-01-12 12:32:12.804954+01:00,2,2
14767,19,2025-01-12 12:32:12.843231+01:00,2,2
14768,19,2025-01-12 12:32:12.879538+01:00,2,2
14769,19,2025-01-12 12:32:12.913925+01:00,2,2
14770,19,2025-01-12 12:32:12.950440+01:00,2,2
14771,19,2025-01-12 12:32:12.985795+01:00,2,2
14772,19,2025-01-12 12:32:13.027009+01:00,2,2
14773,19,2025-01-12 12:32:13.060788+01:00,2,2
14774,19,2025-01-12 12:32:13.103614+01:00,2,2
