game_rule_id,name,description
1,Deux joueurs,Description de Deux joueurs
4,Deux chevaux,Description de Deux chevaux
7,Tous les chevaux doivent gagner,Description de Tous les chevaux doivent gagner
9,Montée de l'escalier avec contrainte,Description de Montée de l'escalier avec contrainte
11,Montée de l'escalier commence exacte,Description de Montée de l'escalier commence exacte
13,Relance avec un 6 autorisée,Description de Relance avec un 6 autorisée
15,Relance après une marche autorisée,Description de Relance après une marche autorisée
16,Relance après une marche interdite,Description de Relance après une marche interdite
14,Relance avec un 6 interdite,Description de Relance avec un 6 interdite
10,Montée de l'escalier sans contrainte,Description de Montée de l'escalier sans contrainte
12,Montée de l'escalier commence non exacte,Description de Montée de l'escalier commence non exacte
8,Un seul cheval doit gagner,Description de Un seul cheval doit gagner
2,Trois joueurs,Description de Trois joueurs
3,Quatre joueurs,Description de Quatre joueurs
