game_id,set_of_rules_id,played_at,nb_participants
1,1,2024-12-11 19:14:10.320153+01:00,2
2,1,2024-12-11 19:14:10.389274+01:00,2
3,1,2024-12-11 19:14:10.444951+01:00,2
4,1,2024-12-11 19:14:10.492193+01:00,2
5,1,2024-12-11 19:14:10.534752+01:00,2
6,1,2024-12-11 19:14:10.580641+01:00,2
7,1,2024-12-11 19:14:10.651942+01:00,2
8,1,2024-12-11 19:14:10.701436+01:00,2
9,1,2024-12-11 19:14:10.752182+01:00,2
10,1,2024-12-11 19:14:10.799038+01:00,2
11,2,2024-12-11 19:14:10.863053+01:00,2
12,2,2024-12-11 19:14:10.894974+01:00,2
13,2,2024-12-11 19:14:10.928377+01:00,2
14,2,2024-12-11 19:14:10.961089+01:00,2
15,2,2024-12-11 19:14:11.006961+01:00,2
16,2,2024-12-11 19:14:11.039410+01:00,2
17,2,2024-12-11 19:14:11.073873+01:00,2
18,2,2024-12-11 19:14:11.104246+01:00,2
19,2,2024-12-11 19:14:11.133748+01:00,2
20,2,2024-12-11 19:14:11.169600+01:00,2
21,1,2024-12-11 19:47:11.649311+01:00,2
22,1,2024-12-11 19:47:11.754682+01:00,2
23,1,2024-12-11 19:47:11.842008+01:00,2
24,1,2024-12-11 19:47:11.923938+01:00,2
25,1,2024-12-11 19:47:12.015026+01:00,2
26,1,2024-12-11 19:47:12.073185+01:00,2
27,1,2024-12-11 19:47:12.149502+01:00,2
28,1,2024-12-11 19:47:12.232955+01:00,2
29,1,2024-12-11 19:47:12.326936+01:00,2
30,1,2024-12-11 19:47:12.422390+01:00,2
31,1,2024-12-11 19:47:12.490531+01:00,2
32,1,2024-12-11 19:47:12.573343+01:00,2
33,1,2024-12-11 19:47:12.674394+01:00,2
34,1,2024-12-11 19:47:12.807500+01:00,2
35,1,2024-12-11 19:47:12.882260+01:00,2
36,1,2024-12-11 19:47:12.967438+01:00,2
37,1,2024-12-11 19:47:13.057789+01:00,2
38,1,2024-12-11 19:47:13.153794+01:00,2
39,1,2024-12-11 19:47:13.254030+01:00,2
40,1,2024-12-11 19:47:13.342928+01:00,2
41,1,2024-12-11 19:47:13.441011+01:00,2
42,1,2024-12-11 19:47:13.531081+01:00,2
43,1,2024-12-11 19:47:13.618027+01:00,2
44,1,2024-12-11 19:47:13.694189+01:00,2
45,1,2024-12-11 19:47:13.771468+01:00,2
46,1,2024-12-11 19:47:13.875786+01:00,2
47,1,2024-12-11 19:47:13.968881+01:00,2
48,1,2024-12-11 19:47:14.054255+01:00,2
49,1,2024-12-11 19:47:14.143973+01:00,2
50,1,2024-12-11 19:47:14.269852+01:00,2
51,1,2024-12-11 19:47:14.352178+01:00,2
52,1,2024-12-11 19:47:14.421386+01:00,2
53,1,2024-12-11 19:47:14.511858+01:00,2
54,1,2024-12-11 19:47:14.603058+01:00,2
55,1,2024-12-11 19:47:14.708022+01:00,2
56,1,2024-12-11 19:47:14.781219+01:00,2
57,1,2024-12-11 19:47:14.848654+01:00,2
58,1,2024-12-11 19:47:14.921749+01:00,2
59,1,2024-12-11 19:47:15.046711+01:00,2
60,1,2024-12-11 19:47:15.121163+01:00,2
61,1,2024-12-11 19:47:15.198780+01:00,2
62,1,2024-12-11 19:47:15.285892+01:00,2
63,1,2024-12-11 19:47:15.358357+01:00,2
64,1,2024-12-11 19:47:15.437900+01:00,2
65,1,2024-12-11 19:47:15.531454+01:00,2
