participant_id,game_id,player_id,num_player_game,action_stats,turn_order,reward_action_agent,reward_rectified,nb_moves,is_winner,nb_actions_interdites,nb_pawns_in_goal
1,1,1,1,1,1,0,0,21,False,0,0
2,1,1,2,2,2,0,0,21,True,0,1
3,2,1,1,3,1,0,0,20,False,0,0
4,2,1,2,4,2,0,0,20,True,0,1
5,3,1,1,5,1,-60,0,21,False,6,0
6,3,1,2,6,2,-20,0,21,True,2,1
7,4,1,1,7,1,0,0,20,True,0,1
8,4,1,2,8,2,0,0,19,False,0,0
9,5,1,1,9,1,0,0,20,True,0,1
10,5,1,2,10,2,0,0,19,False,0,0
11,6,1,1,11,1,-10,0,22,True,1,1
12,6,1,2,12,2,0,0,21,False,0,0
13,7,1,1,13,1,-10,0,24,True,1,1
14,7,1,2,14,2,0,0,23,False,0,0
15,8,1,1,15,1,0,0,17,True,0,1
16,8,1,2,16,2,0,0,16,False,0,0
17,9,1,1,17,1,0,0,22,False,0,0
18,9,1,2,18,2,-10,0,22,True,1,1
19,10,1,1,19,1,0,0,21,True,0,1
20,10,1,2,20,2,0,0,20,False,0,0
21,11,1,1,21,1,-10,0,22,False,1,0
22,11,1,2,22,2,-20,0,22,True,2,1
23,12,1,1,23,1,-20,0,30,True,2,1
24,12,1,2,24,2,0,0,29,False,0,0
25,13,1,1,25,1,0,0,25,False,0,0
26,13,1,2,26,2,0,0,25,True,0,1
27,14,1,1,27,1,0,0,17,True,0,1
28,14,1,2,28,2,0,0,16,False,0,0
29,15,1,1,29,1,-10,0,27,True,1,1
30,15,1,2,30,2,-10,0,26,False,1,0
31,16,1,1,31,1,0,0,29,False,0,0
32,16,1,2,32,2,0,0,29,True,0,1
33,17,1,1,33,1,0,0,17,True,0,1
34,17,1,2,34,2,0,0,16,False,0,0
35,18,1,1,35,1,0,0,17,True,0,1
36,18,1,2,36,2,0,0,16,False,0,0
37,19,1,1,37,1,0,0,23,True,0,1
38,19,1,2,38,2,0,0,22,False,0,0
39,20,1,1,39,1,0,0,18,False,0,0
40,20,1,2,40,2,0,0,18,True,0,1
41,21,1,1,41,1,0,0,20,True,0,1
42,21,1,2,42,2,0,0,19,False,0,0
43,22,1,1,43,1,-10,0,19,True,1,1
44,22,1,2,44,2,0,0,18,False,0,0
45,23,1,1,45,1,0,0,17,False,0,0
46,23,1,2,46,2,0,0,17,True,0,1
47,24,1,1,47,1,0,0,17,False,0,0
48,24,1,2,48,2,0,0,17,True,0,1
49,25,1,1,49,1,-20,0,28,True,2,1
50,25,1,2,50,2,0,0,27,False,0,0
51,26,1,1,51,1,-30,0,46,False,3,0
52,26,1,2,52,2,-20,0,46,True,2,1
53,27,1,1,53,1,0,0,22,True,0,1
54,27,1,2,54,2,0,0,21,False,0,0
55,28,1,1,55,1,0,0,22,True,0,1
56,28,1,2,56,2,0,0,21,False,0,0
57,29,1,1,57,1,0,0,20,True,0,1
58,29,1,2,58,2,0,0,19,False,0,0
59,30,1,1,59,1,-20,0,22,True,2,1
60,30,1,2,60,2,-20,0,21,False,2,0
61,31,1,1,61,1,0,0,24,False,0,0
62,31,1,2,62,2,0,0,24,True,0,1
63,32,1,1,63,1,-10,0,20,True,1,1
64,32,1,2,64,2,0,0,19,False,0,0
65,33,1,1,65,1,-10,0,26,True,1,1
66,33,1,2,66,2,0,0,25,False,0,0
67,34,1,1,67,1,-10,0,24,False,1,0
68,34,1,2,68,2,0,0,24,True,0,1
69,35,1,1,69,1,-30,0,20,True,3,1
70,35,1,2,70,2,-20,0,19,False,2,0
71,36,1,1,71,1,0,0,16,False,0,0
72,36,1,2,72,2,0,0,16,True,0,1
73,37,1,1,73,1,0,0,21,False,0,0
74,37,1,2,74,2,0,0,21,True,0,1
75,38,1,1,75,1,0,0,22,False,0,0
76,38,1,2,76,2,-10,0,22,True,1,1
77,39,1,1,77,1,0,0,21,True,0,1
78,39,1,2,78,2,-10,0,20,False,1,0
79,40,1,1,79,1,-30,0,23,False,3,0
80,40,1,2,80,2,-70,0,23,True,7,1
81,41,1,1,81,1,0,0,22,True,0,1
82,41,1,2,82,2,0,0,21,False,0,0
83,42,1,1,83,1,-30,0,25,True,3,1
84,42,1,2,84,2,-10,0,24,False,1,0
85,43,1,1,85,1,-10,0,27,False,1,0
86,43,1,2,86,2,0,0,27,True,0,1
87,44,1,1,87,1,0,0,20,False,0,0
88,44,1,2,88,2,0,0,20,True,0,1
89,45,1,1,89,1,0,0,17,True,0,1
90,45,1,2,90,2,0,0,16,False,0,0
91,46,1,1,91,1,-10,0,18,True,1,1
92,46,1,2,92,2,-10,0,17,False,1,0
93,47,1,1,93,1,0,0,20,False,0,0
94,47,1,2,94,2,0,0,20,True,0,1
95,48,1,1,95,1,-10,0,19,True,1,1
96,48,1,2,96,2,0,0,18,False,0,0
97,49,1,1,97,1,-20,0,18,False,2,0
98,49,1,2,98,2,-10,0,18,True,1,1
99,50,1,1,99,1,-20,0,19,True,2,1
