game_id,player_id,turn_order,score,nb_moves,is_winner
1,1,1,302,50,True
1,1,2,281,52,False
2,1,1,315,56,False
2,1,2,320,55,True
3,1,1,301,55,False
3,1,2,305,54,True
4,1,1,265,47,True
4,1,2,245,46,False
5,1,1,260,38,True
5,1,2,241,40,False
6,1,1,245,43,False
6,1,2,250,45,True
7,1,1,395,69,True
7,1,2,366,68,False
8,1,1,265,48,True
8,1,2,236,50,False
9,1,1,311,47,True
9,1,2,305,49,False
10,1,1,306,40,True
10,1,2,290,42,False
11,2,1,175,29,True
11,2,2,140,28,False
12,2,1,181,29,True
12,2,2,170,31,False
13,2,1,186,27,False
13,2,2,195,26,True
14,2,1,10,30,False
14,2,2,135,29,True
15,2,1,80,31,False
15,2,2,181,30,True
16,2,1,141,27,False
16,2,2,160,26,True
17,2,1,150,29,False
17,2,2,180,28,True
18,2,1,166,25,True
18,2,2,130,27,False
19,2,1,65,22,False
19,2,2,170,21,True
20,2,1,155,32,False
20,2,2,205,31,True
21,1,1,320,52,True
21,1,2,301,54,False
22,1,1,335,61,True
22,1,2,310,60,False
23,1,1,272,55,False
23,1,2,285,54,True
24,1,1,325,49,True
24,1,2,301,51,False
25,1,1,371,63,True
25,1,2,320,62,False
26,1,1,235,38,True
26,1,2,125,40,False
27,1,1,291,47,False
27,1,2,301,46,True
28,1,1,296,56,False
28,1,2,322,58,True
29,1,1,296,53,False
29,1,2,356,55,True
30,1,1,365,60,True
30,1,2,286,62,False
31,1,1,250,40,False
31,1,2,260,39,True
32,1,1,305,47,True
32,1,2,301,49,False
33,1,1,290,54,False
33,1,2,301,53,True
34,1,1,363,62,False
34,1,2,366,64,True
35,1,1,241,35,False
35,1,2,250,37,True
36,1,1,311,45,True
36,1,2,292,47,False
37,1,1,280,43,True
37,1,2,280,42,True
38,1,1,150,43,False
38,1,2,280,42,True
39,1,1,261,53,False
39,1,2,271,55,True
40,1,1,276,43,True
40,1,2,205,45,False
41,1,1,135,54,False
41,1,2,292,53,True
42,1,1,310,47,True
42,1,2,281,46,False
43,1,1,252,50,False
43,1,2,306,49,True
44,1,1,170,44,False
44,1,2,265,43,True
45,1,1,276,43,True
45,1,2,225,45,False
46,1,1,355,61,True
46,1,2,240,63,False
47,1,1,341,56,True
47,1,2,330,55,False
48,1,1,271,45,False
48,1,2,295,47,True
49,1,1,300,51,False
49,1,2,305,53,True
50,1,1,436,78,False
50,1,2,518,77,True
51,1,1,260,49,True
51,1,2,256,48,False
52,1,1,240,40,False
52,1,2,246,39,True
53,1,1,325,51,False
53,1,2,366,53,True
54,1,1,206,52,False
54,1,2,286,51,True
55,1,1,267,66,False
55,1,2,361,65,True
56,1,1,260,41,False
56,1,2,295,40,True
57,1,1,270,39,False
57,1,2,280,38,True
58,1,1,240,45,False
58,1,2,256,44,True
59,1,1,320,61,False
59,1,2,355,63,True
60,1,1,256,40,True
60,1,2,236,42,False
61,1,1,115,38,False
61,1,2,230,37,True
62,1,1,340,47,True
62,1,2,320,46,False
63,1,1,301,45,False
63,1,2,315,44,True
64,1,1,300,47,False
64,1,2,301,46,True
65,1,1,317,52,False
65,1,2,331,54,True
66,1,1,366,60,True
66,1,2,265,62,False
67,1,1,485,78,False
67,1,2,531,77,True
68,1,1,315,55,False
68,1,2,375,57,True
69,1,1,331,66,False
69,1,2,389,65,True
70,1,1,270,39,True
70,1,2,255,41,False
71,1,1,320,45,True
71,1,2,281,47,False
72,1,1,425,66,False
72,1,2,440,68,True
73,1,1,375,57,True
73,1,2,285,56,False
74,1,1,196,42,False
74,1,2,245,41,True
75,1,1,256,45,False
75,1,2,260,47,True
76,1,1,341,57,True
76,1,2,286,59,False
77,1,1,305,62,False
77,1,2,321,61,True
78,1,1,232,45,False
78,1,2,276,47,True
79,1,1,321,51,True
79,1,2,282,53,False
80,1,1,235,41,True
80,1,2,235,43,True
81,1,1,276,58,True
81,1,2,276,57,True
82,1,1,331,50,False
82,1,2,346,52,True
83,1,1,240,39,False
83,1,2,245,38,True
84,1,1,375,62,True
84,1,2,335,61,False
85,1,1,320,54,False
85,1,2,346,56,True
86,1,1,272,42,False
86,1,2,291,44,True
87,1,1,430,69,True
87,1,2,411,68,False
88,1,1,245,33,True
88,1,2,180,35,False
89,1,1,300,51,True
89,1,2,300,50,True
90,1,1,165,43,False
90,1,2,275,42,True
91,1,1,321,47,True
91,1,2,282,49,False
92,1,1,406,69,True
92,1,2,400,71,False
93,1,1,271,51,False
93,1,2,365,50,True
94,1,1,260,45,False
94,1,2,267,44,True
95,1,1,351,77,False
95,1,2,420,76,True
96,1,1,345,75,True
96,1,2,281,77,False
97,1,1,262,44,False
97,1,2,275,43,True
98,1,1,428,68,True
98,1,2,395,67,False
99,1,1,255,58,False
99,1,2,302,57,True
100,1,1,311,53,True
100,1,2,235,55,False
101,1,1,285,62,False
101,1,2,340,64,True
102,1,1,391,56,True
102,1,2,271,55,False
103,1,1,271,45,True
103,1,2,196,47,False
104,1,1,406,68,False
104,1,2,445,67,True
105,1,1,430,61,True
105,1,2,332,63,False
106,1,1,270,59,False
106,1,2,335,58,True
107,1,1,271,39,True
107,1,2,231,41,False
108,1,1,310,47,False
108,1,2,327,46,True
109,1,1,311,66,False
109,1,2,363,65,True
110,1,1,290,74,True
110,1,2,211,76,False
111,1,1,370,73,False
111,1,2,406,72,True
112,1,1,255,42,True
112,1,2,245,44,False
113,1,1,350,58,True
113,1,2,261,60,False
114,1,1,330,43,True
114,1,2,315,42,False
115,1,1,195,41,False
115,1,2,276,40,True
116,1,1,320,69,False
116,1,2,399,68,True
117,1,1,300,50,False
117,1,2,306,49,True
118,1,1,251,43,False
118,1,2,281,45,True
119,1,1,245,42,False
119,1,2,260,41,True
120,1,1,270,54,False
120,1,2,291,53,True
121,2,1,190,35,False
121,2,2,246,37,True
122,2,1,65,25,False
122,2,2,175,24,True
123,2,1,205,31,False
123,2,2,255,33,True
124,2,1,100,20,False
124,2,2,151,19,True
125,2,1,105,19,False
125,2,2,145,18,True
126,2,1,180,43,False
126,2,2,246,45,True
127,2,1,115,25,False
127,2,2,170,24,True
128,2,1,160,24,True
128,2,2,115,26,False
129,2,1,175,24,False
129,2,2,180,23,True
130,2,1,135,26,True
130,2,2,115,28,False
131,2,1,195,26,True
131,2,2,155,28,False
132,2,1,212,34,False
132,2,2,216,33,True
133,2,1,75,18,False
133,2,2,140,17,True
134,2,1,145,22,True
134,2,2,85,24,False
135,2,1,135,21,False
135,2,2,155,20,True
136,2,1,166,30,False
136,2,2,235,32,True
137,2,1,256,41,False
137,2,2,265,40,True
138,2,1,175,25,True
138,2,2,70,27,False
139,2,1,130,25,False
139,2,2,141,24,True
140,2,1,180,23,True
140,2,2,115,25,False
141,2,1,175,27,True
141,2,2,151,26,False
142,2,1,195,27,False
142,2,2,200,26,True
143,2,1,120,25,False
143,2,2,155,24,True
144,2,1,125,23,False
144,2,2,155,22,True
145,2,1,185,22,True
145,2,2,180,21,False
146,2,1,10,26,False
146,2,2,155,25,True
